,Customer_ID,Invoice,Amount,recency,Cluster
0,12346.0,48,-64.67999999999302,326,0
2,12348.0,51,2019.4,76,1
3,12349.0,180,4404.54,19,2
4,12350.0,17,334.4,311,0
5,12351.0,21,300.93,376,0
6,12352.0,113,1889.21,73,1
7,12353.0,24,406.76,204,1
8,12354.0,58,1079.4,233,1
9,12355.0,35,947.61,96,1
12,12358.0,77,3887.07,3,2
14,12360.0,218,4212.89,53,2
15,12361.0,29,511.25,288,0
17,12363.0,23,552.0,36,1
18,12364.0,85,1313.1,41,1
19,12365.0,23,320.69,292,0
20,12366.0,3,500.24,634,0
21,12367.0,11,168.9,212,1
22,12368.0,18,917.6999999999999,629,0
23,12369.0,93,1791.15,414,0
24,12370.0,202,4320.31,52,2
25,12371.0,167,4067.38,30,2
26,12372.0,52,1298.04,35,1
27,12373.0,51,1127.65,342,0
28,12374.0,83,2989.2200000000003,26,2
29,12375.0,18,455.42,11,1
30,12376.0,13,503.15,390,0
31,12377.0,152,3426.32,316,2
33,12379.0,82,1618.27,82,1
35,12381.0,91,1803.96,0,1
36,12382.0,1,-18.38,683,0
37,12383.0,100,1839.31,9,1
38,12384.0,30,566.16,29,1
39,12385.0,66,1923.4,380,0
40,12386.0,18,660.8,192,1
41,12387.0,9,143.94,416,0
42,12388.0,146,3901.11,16,2
43,12389.0,49,1433.33,568,0
44,12390.0,32,549.84,80,1
45,12391.0,287,2747.82,22,2
46,12392.0,7,234.75000000000003,592,0
47,12393.0,112,2376.75,39,2
48,12394.0,27,1272.48,153,1
50,12396.0,65,931.43,648,0
51,12397.0,126,2409.9,136,2
52,12398.0,85,1635.6599999999999,46,1
53,12399.0,110,1962.3,2,1
54,12400.0,11,205.25,415,0
55,12401.0,5,84.3,99,1
56,12402.0,71,1244.15,324,0
57,12403.0,10,1001.36,50,1
58,12404.0,1,63.24,683,0
59,12405.0,54,1710.39,149,1
61,12407.0,77,1708.1200000000001,50,1
62,12408.0,170,4279.64,128,2
64,12410.0,42,1001.46,38,1
65,12411.0,22,346.9,410,0
66,12412.0,131,2581.03,75,2
67,12413.0,53,935.5,9,1
68,12414.0,37,692.41,188,1
70,12416.0,11,202.56,657,0
72,12418.0,103,2016.95,113,1
73,12419.0,25,503.01,386,0
74,12420.0,29,600.39,153,1
75,12421.0,67,1092.83,16,1
76,12422.0,176,4119.35,169,2
77,12423.0,166,2612.19,89,2
78,12424.0,97,3289.78,163,2
79,12425.0,95,1680.81,78,1
80,12426.0,82,1311.41,195,1
81,12427.0,45,1011.87,12,1
84,12430.0,11,256.4,44,1
88,12434.0,74,1062.48,85,1
90,12436.0,16,509.01,335,0
92,12438.0,98,2906.85,15,2
93,12439.0,75,1104.48,683,0
94,12440.0,35,768.15,488,0
95,12441.0,22,347.1,485,0
96,12442.0,12,172.06,181,1
97,12443.0,21,485.31,881,0
99,12445.0,25,426.48,22,1
100,12446.0,58,1002.3100000000001,58,1
101,12447.0,26,476.49,67,1
102,12448.0,22,449.45,45,1
103,12449.0,201,4835.89,23,2
104,12450.0,40,666.95,174,1
106,12452.0,23,428.57,17,1
107,12453.0,43,707.09,135,1
108,12454.0,72,4292.71,54,2
110,12456.0,129,3153.89,45,2
111,12457.0,93,2472.31,0,1
112,12458.0,84,1777.49,72,1
113,12459.0,23,454.36,606,0
114,12460.0,18,326.65,457,0
115,12461.0,35,826.88,125,1
116,12462.0,72,1124.01,19,1
117,12463.0,88,1303.63,6,1
118,12464.0,29,1212.05,11,1
119,12465.0,51,733.89,18,1
120,12466.0,1,56.73,683,0
121,12467.0,18,0.0,365,0
122,12468.0,163,3624.55,144,2
123,12469.0,76,3070.54,537,0
124,12470.0,23,211.95,690,0
127,12473.0,179,2848.23,54,2
129,12475.0,61,1149.64,54,1
132,12478.0,36,680.99,181,1
133,12479.0,35,477.3,12,1
137,12483.0,148,4846.87,18,2
139,12485.0,34,708.1,530,0
140,12486.0,49,1037.28,609,0
141,12487.0,3,259.79999999999995,819,0
142,12488.0,55,1298.66,10,1
143,12489.0,15,334.93,162,1
145,12491.0,26,460.40000000000003,333,0
146,12492.0,42,715.21,106,1
147,12493.0,23,416.79,166,1
148,12494.0,122,1743.52,10,1
149,12495.0,19,323.4,463,0
150,12496.0,13,54.09,621,0
152,12498.0,23,403.70000000000005,22,1
153,12499.0,27,393.72,561,0
155,12501.0,160,2089.68,162,2
156,12502.0,147,3723.87,188,2
157,12503.0,3,0.0,192,1
158,12504.0,26,411.0,19,1
159,12505.0,47,908.0,38,1
160,12506.0,23,73.5,233,1
161,12507.0,51,1797.31,135,1
162,12508.0,69,398.27,27,1
163,12509.0,7,176.5,285,0
164,12510.0,154,3689.33,143,2
165,12511.0,194,3065.77,415,2
166,12512.0,34,138.03,244,1
167,12513.0,36,586.79,85,1
168,12514.0,84,1597.76,268,1
169,12515.0,16,383.7,354,0
170,12516.0,74,2648.62,4,1
171,12517.0,286,2464.89,29,2
172,12518.0,124,2056.89,0,1
173,12519.0,42,695.19,153,1
174,12520.0,155,2582.51,37,2
175,12521.0,38,599.68,143,1
176,12522.0,12,192.72,40,1
177,12523.0,265,4220.85,9,2
179,12525.0,77,835.1800000000001,430,0
180,12526.0,71,1316.66,54,1
181,12527.0,32,735.51,82,1
182,12528.0,95,1922.28,10,1
183,12529.0,23,311.78000000000003,529,0
184,12530.0,162,3689.86,30,2
185,12531.0,133,1899.05,15,1
186,12532.0,16,349.83000000000004,90,1
187,12533.0,90,1149.99,404,0
188,12534.0,63,1089.18,336,0
189,12535.0,34,716.35,92,1
190,12536.0,273,4106.82,30,2
191,12537.0,43,732.94,409,0
192,12538.0,34,640.45,60,1
195,12541.0,52,981.18,60,1
196,12542.0,45,423.38,366,0
197,12543.0,43,980.25,449,0
198,12544.0,20,355.7,60,1
199,12545.0,50,1000.39,76,1
200,12546.0,70,1141.5,47,1
201,12547.0,21,383.58,198,1
202,12548.0,5,95.19999999999999,167,1
203,12549.0,49,1575.68,374,0
204,12550.0,57,964.83,80,1
205,12551.0,10,168.0,358,0
206,12552.0,20,437.82,40,1
207,12553.0,244,4548.82,0,2
208,12554.0,26,468.5,449,0
209,12555.0,1,129.23,683,0
210,12556.0,121,603.71,33,1
212,12558.0,22,1.0658141036401503e-14,120,1
213,12559.0,22,536.21,311,0
214,12560.0,111,2101.39,101,1
215,12561.0,16,238.85,69,1
216,12562.0,207,4966.92,23,2
217,12563.0,13,249.24,409,0
218,12564.0,21,456.9,262,1
219,12565.0,10,131.17,282,0
